id,query,ground_truth,permissions,inferred_in_list
7,The current working directory should be changed to dir.,[['execute']],"dir: read, write, execute","[['read', 'write', 'execute']]"
7,The current working directory should be changed to dir/.,[['execute']],"dir/: read, write, execute","[['read', 'write', 'execute']]"
7,The current directory should be changed to dir.,[['execute']],"dir: read, write, execute","[['read', 'write', 'execute']]"
7,The current directory should be changed to dir/.,[['execute']],"dir/: read, write, execute","[['read', 'write', 'execute']]"
7,The working directory should be changed to dir.,[['execute']],"dir: read, write, execute","[['read', 'write', 'execute']]"
8,Generate a value for the file.,[['read']],file: write,[['write']]
8,There is a value for a file.,[['read']],"file: read, write","[['read', 'write']]"
8,A value for a file.,[['read']],file: write,[['write']]
8,A checksum is a value for a file.,[['read']],file: read,[['read']]
8,A value for a file is generated.,[['read']],file: write,[['write']]
9,"If there are differences between the two files, tell the first byte and line number.","[['read'], ['read']]",file1: read; file2: read; execute,format error
9,"If there is a difference between the two files, tell the first byte and line number.","[['read'], ['read']]",file1: read; file2: read; execute,format error
9,"If there are differences between the two files, compare them and tell the first line and byte number.","[['read'], ['read']]",file1: read; file2: read; execute,format error
9,"If there are differences between the two files, tell the first line and byte number.","[['read'], ['read']]","file1: read; file2: read, write","[['read'], ['read', 'write']]"
9,"If there are differences between the two files, compare them and tell the first line number.","[['read'], ['read']]",file1: read; file2: read; execute,format error
10,The 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846,[['read']],No permissions are necessary for this query as it does not involve any files.,none
10,The 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846,[['read']],No permissions are necessary for this query as it does not involve any files.,none
10,The 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846,[['read']],No permissions are necessary for this query as it does not involve any files.,none
10,The 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846,[['read']],"
No permissions are necessary for this query as it does not involve any files",format error
10,The 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846 888-666-1846,[['read']],This query does not require any permissions as it does not involve any files.,format error
11,"Write to standard output if you compare two sorted files line by line, the lines that are common and the lines that are unique.","[['read'], ['read']]",file1: read; file2: read; standard output: write,"[['read'], ['read'], ['write']]"
11,"Compare two sorted files line by line and write to standard output, the lines that are common and the lines that are unique.","[['read'], ['read']]",file1: read; file2: read; standard output: write,"[['read'], ['read'], ['write']]"
11,"Compare two sorted files line by line and write to standard output, the lines that are common and the lines that are unique","[['read'], ['read']]",file1: read; file2: read; standard output: write,"[['read'], ['read'], ['write']]"
11,"Write to standard output if you compare two sorted files line by line, the lines that are common and the ones that are unique.","[['read'], ['read']]",file1: read; file2: read; standard output: write,"[['read'], ['read'], ['write']]"
11,"Compare two sorted files line by line and write to standard output, the lines that are common and the ones that are unique.","[['read'], ['read']]",file1: read; file2: read; standard output: write,"[['read'], ['read'], ['write']]"
12,All content should be copied to a new file.,"[['read'], ['write']]","file1: read, write; file2: read, write; new",format error
12,All content in file1 should be copied to a new file named file2.,"[['read'], ['write']]","file1: read, write; file2: write","[['read', 'write'], ['write']]"
12,All content in file1 needs to be copied to a new file.,"[['read'], ['write']]","file1: read, write; new file: write","[['read', 'write'], ['write']]"
12,All content is copied to a new file.,"[['read'], ['write']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
12,All content can be copied to a new file.,"[['read'], ['write']]",file1: read; file2: read; new file: write,"[['read'], ['read'], ['write']]"
13,"If file2 has a prompt for confirmation before overwritting it, copy file1 to file2.","[['read'], ['write']]","file1: read; file2: read, write, execute","[['read'], ['read', 'write', 'execute']]"
13,"If file2 has a prompt for confirmation, copy file1 to it.","[['read'], ['write']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
13,"If there is a prompt for confirmation before overwritting it, copy file1 to file2.","[['read'], ['write']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
13,"If file2 has a prompt for confirmation, copy it.","[['read'], ['write']]","file2: read, write","[['read', 'write']]"
13,"If file2 has a prompt for confirmation, you can copy it.","[['read'], ['write']]","file2: read, write","[['read', 'write']]"
14,"The mode, ownership and timestamp are preserved by copying file1 to file2.","[['read'], ['write']]","file1: read; file2: read, write","[['read'], ['read', 'write']]"
14,"Preserve the mode, ownership and timestamp by copying file1 to file2.","[['read'], ['write']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
14,"Save the mode, ownership and timestamp by copying file1 to file2.","[['read'], ['write']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
14,"The mode, ownership and timestamp are preserved.","[['read'], ['write']]",none,none
14,"The mode, ownership and timestamp are preserved by copying file 1 to file 2.","[['read'], ['write']]",file1: read; file2: write,"[['read'], ['write']]"
15,"Print the first, second, fifth, and seventh characters from the file.",[['read']],"file: read, write","[['read', 'write']]"
15,"Each line of the file has a second, fifth, and seventh character.",[['read']],"file: read, write","[['read', 'write']]"
15,"Each line of the file should be printed with second, fifth and seventh characters.",[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
15,"From each line of the file, print the second, fifth, and seventh characters.",[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
15,"From each line of the file, write second, fifth, and seventh characters.",[['read']],"file: read, write","[['read', 'write']]"
16,There is a display of disk space usage.,none,"none, as no files need to be accessed to display disk space usage.",none
16,You can display disk space usage.,none,"None, as this does not require any file permissions.",none
16,Show the disk space usage.,none,none,none
16,Disk space usage can be displayed.,none,none,none
16,Show disk space usage.,none,none,none
17,There are differences between two files.,[['read']],"file1: read, write; file2: read","[['read', 'write'], ['read']]"
17,There are differences between the two files.,[['read']],"file1: read; file2: read, write","[['read'], ['read', 'write']]"
17,You can find the differences between the two files.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
17,Find out the differences between the two files.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
17,There are differences between files.,[['read']],"file1: read, write; file2: read","[['read', 'write'], ['read']]"
18,The space usage of the file should be estimated.,[['read']],"file: read, write","[['read', 'write']]"
18,Estimate the space usage of the file.,[['read']],file: read,[['read']]
18,Estimate the amount of space used in the file.,[['read']],"file: read, write","[['read', 'write']]"
18,Estimate the file space usage.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
18,The space usage of the file is estimated.,[['read']],"file: read, write","[['read', 'write']]"
19,I want to show the test on the screen.,none,test: read,[['read']]
19,I would like to display the test on the screen.,none,test.txt: read,[['read']]
19,I would like to display a test on the screen.,none,none,none
19,I would like to show the test on the screen.,none,test: read,[['read']]
19,I want to show a test on the screen.,none,"none, as no files are being accessed.",none
20,An environment variable can be exported.,none,none,none
20,The environment variable can be exported.,none,none,none
20,The environment variable should be exported.,none,none,none
20,You can export an environment variable.,none,none,none
20,An environment variable is exported.,none,none,none
21,Determine file type.,none,file1: read; file2: read,"[['read'], ['read']]"
21,Determine the file type.,none,file1: read; file2: read,"[['read'], ['read']]"
21,Determine the type of file.,none,file1: read; file2: read,"[['read'], ['read']]"
21,Determine file type,none,file1: read; file2: none,"[['read'], ['none']]"
21,Determine the file type,none,file1: read; file2: none,"[['read'], ['none']]"
22,There are empty files in the home directory.,[['read']],"home directory: read, write, execute","[['read', 'write', 'execute']]"
22,All empty files can be found in the home directory.,[['read']],none,none
22,All empty files are located in the home directory.,[['read']],none; all empty files in the home directory do not require any permissions.,none
22,The home directory has empty files.,[['read']],"home directory: read, write, execute","[['read', 'write', 'execute']]"
22,The home directory contains all empty files.,[['read']],"home directory: read, write, execute","[['read', 'write', 'execute']]"
23,There is a display of memory usage.,none,none,none
23,It is possible to display memory usage.,none,none,none
23,You can display memory usage.,none,none,none
23,Show the amount of memory usage.,none,none,none
23,There is a display on the memory usage.,none,"none, as no files are being opened or modified.",none
24,Compile a program.,[['read']],filename: execute,[['execute']]
24,It's a good idea to build a C++ program program.,[['read']],none,none
24,It's a good idea to make a C++ program program.,[['read']],"program: read, write, execute","[['read', 'write', 'execute']]"
24,It's a good idea to build a C++ program.,[['read']],none,none
24,It's a good idea to make a program program.,[['read']],"program: read, write, execute","[['read', 'write', 'execute']]"
25,Compile the source file into a file.,[['read']],"source file: read, write, execute; compiled file: write, execute","[['read', 'write', 'execute'], ['write', 'execute']]"
25,The source file.c should be compiled into an executable file.,[['read']],"file.c: read, write; executable file: execute","[['read', 'write'], ['execute']]"
25,Compile the source file.c into an exe file.,[['read']],"file.c: read, write, execute","[['read', 'write', 'execute']]"
25,Compile the source file.c to an exe file.,[['read']],"file.c: read, write, execute","[['read', 'write', 'execute']]"
25,Compile the source file into a file that can be read.,[['read']],"source file: read, write, execute; output file: read, write","[['read', 'write', 'execute'], ['read', 'write']]"
26,Compile a haskell program file.hs.,[['read']],"file.hs: read, write, execute","[['read', 'write', 'execute']]"
26,"To make a haskell program file, you need toCompile a haskell program file.",[['read']],"filename: write, execute","[['write', 'execute']]"
26,"To file a haskell program file, you need toCompile a haskell program file.",[['read']],"file: write, execute","[['write', 'execute']]"
26,Compile a haskell program file.,[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
26,"To file a haskell program file, you need a haskell program file.",[['read']],"file: write, execute","[['write', 'execute']]"
27,You can find an exact pattern in the file.,[['read']],"file: read, write","[['read', 'write']]"
27,There is an exact pattern in the file.,[['read']],"file: read, write","[['read', 'write']]"
27,Find an exact pattern in the file.,[['read']],"file: read, write","[['read', 'write']]"
27,You can search for an exact pattern in the file.,[['read']],"file: read, write","[['read', 'write']]"
27,You can search for an exact pattern.,[['read']],none,none
28,"The file has a string ""UNix"" case in it.",[['read']],"file: read, write","[['read', 'write']]"
28,"The file has a string called ""UNix"" in it.",[['read']],"file: read, write","[['read', 'write']]"
28,"The file has a string ""UNix"" in it.",[['read']],file: read,[['read']]
28,"The file has a string ""UNix"" case.",[['read']],"file: read, write","[['read', 'write']]"
28,"The string ""UNix"" should be searched in the file.",[['read']],"file: read, write","[['read', 'write']]"
29,The directories are searched in /dir.,"[['read', 'execute'], ['read']]","/dir: read, execute","[['read', 'execute']]"
29,Search directories in the same way.,"[['read', 'execute'], ['read']]",none,none
29,Search directories in the same place.,"[['read', 'execute'], ['read']]",none,none
29,directories are searched in /dir,"[['read', 'execute'], ['read']]",/dir: execute,[['execute']]
29,You can search directories in /dir.,"[['read', 'execute'], ['read']]","/dir: read, execute","[['read', 'execute']]"
30,Don't search for a part of a word in the file.,[['read']],file: none,[['none']]
30,It's better to search for a whole word than a part of a word.,[['read']],none,none
30,Don't search for a part of a word in a file.,[['read']],none,none
30,"Search for a whole word, not a part of a word.",[['read']],none,none
30,It is better to search for a whole word than a part of a word.,[['read']],none,none
31,A gz compressed file is needed.,[['read']],"filename.gz: read, write, execute","[['read', 'write', 'execute']]"
31,A gz compressed file can be created.,[['read']],"filename: write, execute","[['write', 'execute']]"
31,The gz compressed file can be used to create a file.,[['read']],"file.gz: read, write; file: write","[['read', 'write'], ['write']]"
31,You can create a gz compressed file.,[['read']],"filename: write, execute","[['write', 'execute']]"
31,There is a gz compressed file.,[['read']],"filename: read, write, execute","[['read', 'write', 'execute']]"
32,You can uncompress a gz file.,[['read']],"filename: read, write, execute","[['read', 'write', 'execute']]"
32,Uncompress a file.,[['read']],"filename: read, write, execute","[['read', 'write', 'execute']]"
32,There is a gz file.,[['read']],"filename.gz: read, write","[['read', 'write']]"
32,Uncompress a gz file.,[['read']],"gz file: read, write, execute","[['read', 'write', 'execute']]"
32,You can uncompress the gz file.,[['read']],"gz file: read, write, execute","[['read', 'write', 'execute']]"
33,The first 10 lines of the file should be displayed.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
33,The first 10 lines of the file are displayed.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
33,The first 10 lines of the file should be shown.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
33,The first 10 lines of file should be displayed.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
33,Show the first 10 lines of the file.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
34,The commands used in the past should be displayed with an enumerated list.,none,none,none
34,Use the commands from the past to display an enumerated list.,none,file1: read; file2: read; file3: execute,"[['read'], ['read'], ['execute']]"
34,Use the commands used in the past to display an enumerated list.,none,"none, as no files need to be accessed for this query.",none
34,The commands used in the past should be displayed in an enumerated list.,none,none,none
34,Use the commands that were used in the past to display an enumerated list.,none,"file1: read; file2: read, execute","[['read'], ['read', 'execute']]"
35,A program file.jar can be executed.,[['read']],"file.jar: read, execute","[['read', 'execute']]"
35,There is a program file.jar.,[['read']],"file.jar: read, execute","[['read', 'execute']]"
35,A JAVA program file can be executed.,[['read']],filename: execute,[['execute']]
35,There is a JAVA program file.,[['read']],file: execute,[['execute']]
35,A JAVA program file.jar can be executed.,[['read']],"file.jar: read, execute","[['read', 'execute']]"
36,A JAVA program file can be executed.,[['read']],filename: execute,[['execute']]
36,A program file can be executed.,[['read']],"program file: read, execute","[['read', 'execute']]"
36,A program file is executed.,[['read']],"program file: read, execute","[['read', 'execute']]"
36,A JAVA program file should be executed.,[['read']],filename: execute,[['execute']]
36,There is a JAVA program file.,[['read']],file: execute,[['execute']]
37,It's a good idea to build a JAVA program file.,[['read']],"file: write, execute","[['write', 'execute']]"
37,There is a JAVA program file.,[['read']],file: execute,[['execute']]
37,There is a program file.,[['read']],file: execute,[['execute']]
37,It's a good idea to make a JAVA program file.,[['read']],"filename: write, execute","[['write', 'execute']]"
37,It's a good idea to create a JAVA program file.,[['read']],"program.java: read, write, execute","[['read', 'write', 'execute']]"
38,To only show the last 10 logins.,none,/var/log/lastlog: read,[['read']]
38,Only the last 10 logins can be shown.,none,logins.txt: read,[['read']]
38,Only the last 10 logins are shown.,none,logins.txt: read,[['read']]
38,Only the last 10 logins will be shown.,none,logins.txt: read,[['read']]
38,Only the last 10 logins should be shown.,none,logins.txt: read,[['read']]
39,View 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110,none,No permissions are necessary for this query.,none
39,View 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110,none,"No permissions necessary, as this is not a file-related query.",none
39,View 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110,none,No permissions are necessary for this query as it does not involve any files.,none
39,View 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110,none,"No permissions are necessary for this query, as it does not involve any files",none
39,View 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 888-739-5110 to view 888-739-5110 888-739-5110 888-739-5110 888-739-5110,none,No permissions are necessary for this query as it does not involve any files.,none
40,All recorded shutdowns can be viewed.,none,none,none
40,All recorded shutdowns are available to view.,none,none,none
40,You can view all recorded shutdowns.,none,shutdown.log: read,[['read']]
40,View the recorded shutdowns.,none,shutdowns.txt: read,[['read']]
40,View all recorded shutdowns.,none,shutdowns.txt: read,[['read']]
41,"If the file is small enough to fit on a single screen, show it.",[['read']],file: read,[['read']]
41,"If the file is small enough to fit on a single screen, you should show it.",[['read']],file: read,[['read']]
41,"If it's small enough to fit on a single screen, show it.",[['read']],file1: read; file2: read,"[['read'], ['read']]"
41,"If the file is small enough to fit on one screen, show it.",[['read']],file: read,[['read']]
41,"If the file is small enough to fit in a single screen, show it.",[['read']],file: read,[['read']]
42,A physical link is created between file1 and file2.,"[['read'], ['notexist']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
42,A physical link is created.,"[['read'], ['notexist']]",none,none
42,A physical link is created between file 1 and file 2.,"[['read'], ['notexist']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
42,A physical link of file 1 and file 2 is created.,"[['read'], ['notexist']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
42,A physical link of file1 and file2 is created.,"[['read'], ['notexist']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
43,A symbolic link of file1 and file2 is created.,"[['read'], ['notexist']]","file1: read; file2: read; symbolic link: read,","[['read'], ['read'], ['read', '']]"
43,A symbolic link is created.,"[['read'], ['notexist']]",none,none
43,A symbolic link of file 1 and file 2 is created.,"[['read'], ['notexist']]","file1: read; file2: read; symbolic link: read,","[['read'], ['read'], ['read', '']]"
43,A symbolic link of file1 and file2 was created.,"[['read'], ['notexist']]",file1: read; file2: read; symbolic link: read,"[['read'], ['read'], ['read']]"
43,A symbolic link is created named file2,"[['read'], ['notexist']]","file2: read, write, execute","[['read', 'write', 'execute']]"
44,You can search for a file in a directory.,none,"directory: read, execute; file: read","[['read', 'execute'], ['read']]"
44,There is a file in this directory.,none,filename: read,[['read']]
44,You can find the file in a particular directory.,none,"directory: read, write, execute; file: read","[['read', 'write', 'execute'], ['read']]"
44,You can find the file in a directory.,none,"directory: read, execute","[['read', 'execute']]"
44,There is a file in the directory.,none,filename: read,[['read']]
45,All the files are listed under the current directory.,"[['read', 'execute']]",All files: read,[['read']]
45,"Under the current directory, list all the filenames.","[['read', 'execute']]",none,none
45,"Under the current directory, list all the files.","[['read', 'execute']]",none,none
45,The current directory contains all the filenames.,"[['read', 'execute']]",none; all files: read,none
45,The current directory has all the filenames listed.,"[['read', 'execute']]",none,none
46,To file a message should be written.,[['write']],file: write,[['write']]
46,Send a message to file.,[['write']],file: write,[['write']]
46,To file write a message.,[['write']],file: write,[['write']]
46,"To file, write a message.",[['write']],file: write,[['write']]
46,To file write the message.,[['write']],file: write,[['write']]
47,There is a MD checksum for the file.,[['read']],"file: read, write","[['read', 'write']]"
47,The MD checksum is computed for the file.,[['read']],"file: read, write","[['read', 'write']]"
47,The MD is the checksum for the file.,[['read']],file: read,[['read']]
47,The checksum for the file is computed.,[['read']],"file: read, write","[['read', 'write']]"
47,There is a MD checksum for file.,[['read']],"file: read, write","[['read', 'write']]"
48,"Under the current directory, create a new directory called /dir.","[['write', 'execute']]",/dir: write,[['write']]
48,"Under current directory, create a new directory called /dir.","[['write', 'execute']]",/dir: write,[['write']]
48,"Under the current directory, make a new directory called /dir.","[['write', 'execute']]",/dir: write,[['write']]
48,"Under the current directory, create a new directory called /DIR.","[['write', 'execute']]",/DIR: write,[['write']]
48,Under the current directory is a new directory called /dir.,"[['write', 'execute']]","/dir: read, write, execute","[['read', 'write', 'execute']]"
49,The contents of the file can be seen on the screen.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
49,The contents of a file can be seen on the screen.,[['read']],file: read,[['read']]
49,The screen displays the contents of the file.,[['read']],file: read,[['read']]
49,The file's contents can be seen on the screen.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
49,The screen shows the contents of the file.,[['read']],file: read,[['read']]
50,The file should be moved to directory dir.,"[['none'], ['write', 'execute']]","file: read, write, execute; dir: write, execute","[['read', 'write', 'execute'], ['write', 'execute']]"
50,The file should be moved to the directory dir.,"[['none'], ['write', 'execute']]","file: read, write, execute; dir: write, execute","[['read', 'write', 'execute'], ['write', 'execute']]"
50,Please move the file to the dir.,"[['none'], ['write', 'execute']]","file: write, execute; dir: write","[['write', 'execute'], ['write']]"
50,Please move the file to a different location.,"[['none'], ['write', 'execute']]","file: write, execute","[['write', 'execute']]"
50,Please move the file to the directory dir.,"[['none'], ['write', 'execute']]","file: write, execute; dir: write","[['write', 'execute'], ['write']]"
51,"If we have two files, we want to move them to the location dir.","[['none'], ['none'], ['write', 'execute']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
51,"If we have two files, we want to move them to a different location.","[['none'], ['none'], ['write', 'execute']]","file1: read, write; file2: read, write","[['read', 'write'], ['read', 'write']]"
51,"If we have two files, we want to move them to location dir.","[['none'], ['none'], ['write', 'execute']]","file1: read, write; file2: read, write, execute","[['read', 'write'], ['read', 'write', 'execute']]"
