id,query,ground_truth
73,"The archive of file, file, in the current directory is called file.tar.",[['read']]
74,There is an existing tar file.tar.,[['read']]
74,There is a tar file.tar.,[['read']]
74,Take a look at an existing tar file.tar.,[['read']]
74,You can view an existing tar file.,[['read']]
74,There is an existing tar file.tar,[['read']]
75,The output will be sent to file top-file.,[['write']]
75,The output will be sent to file top-file,[['write']]
75,The output will be sent to file top-files.,[['write']]
75,The output will be sent to file top- file.,[['write']]
75,"The output will be sent to file top-file, as specified by the delay flag.",[['write']]
76,An empty file can be created in the location dir.,"[['write', 'execute']]"
76,An empty file can be created in location dir.,"[['write', 'execute']]"
76,An empty file can be created in the dir.,"[['write', 'execute']]"
76,"In the location dir, create an empty file.","[['write', 'execute']]"
76,"In the dir, create an empty file.","[['write', 'execute']]"
77,An empty file can be created.,"[['write', 'execute']]"
77,An empty file should be created.,"[['write', 'execute']]"
77,An empty file is created.,"[['write', 'execute']]"
77,An empty file could be created.,"[['write', 'execute']]"
77,You can create an empty file.,"[['write', 'execute']]"
78,Old_file's modification date should be changed to the current time.,"[['write', 'execute']]"
78,The old_file modification date should be changed to the current time.,"[['write', 'execute']]"
78,The modification date of the file should be changed to the current time.,"[['write', 'execute']]"
78,The current time is when the modification date of file old_file should be changed.,"[['write', 'execute']]"
78,The current time is when the modification date of the file should be changed.,"[['write', 'execute']]"
79,The system information should be printed in the following order.,none
79,All the system information should be printed in the following order.,none
79,"The system information should be printed in the following order: kernels name, network name, release date, machine hardware name, operating system.",none
79,The system information can be printed in the following order.,none
79,"The system information should be printed in the following order: the name of the operating system, the name of the network, the release date of the kernels, and the machine hardware name.",none
80,You can extract a zip compressed file.,[['read']]
80,There is a zip compressed file.,[['read']]
80,Get a zip compressed file.,[['read']]
80,You can extract a zip file.,[['read']]
80,A zip file is compressed.,[['read']]
81,Load average and system uptime should be shown.,none
81,Show the load and system average.,none
81,Load average and system uptime are shown.,none
81,Show the load average.,none
81,Show the load average and system average.,none
82,Use the vi editor to modify an existing file.,"[['read', 'write']]"
82,The vi editor can be used to modify an existing file.,"[['read', 'write']]"
82,The vi editor can be used to edit an existing file.,"[['read', 'write']]"
82,Use the vi editor to change an existing file.,"[['read', 'write']]"
82,You can use the vi editor to modify an existing file.,"[['read', 'write']]"
83,"Show the system memory, processes, interrupts, and block I/O.",none
83,"Show the system memory, processes, interrupt, and block I/O.",none
83,"Show system memory, processes, interrupts, and block I/O.",none
83,"Show the system's memory, processes, interrupts, and block I/O.",none
83,"Show system memory, processes, interrupt, and block I/O.",none
84,"You can find the number of lines, word count,byte and characters in the file.",[['read']]
84,"You can find the number of lines, word count, byte and characters in the file.",[['read']]
84,"Find the number of lines, word count,byte and characters in the file.",[['read']]
84,"You can find the number of lines, word count,byte, and characters in the file.",[['read']]
84,"Number of lines, word count,byte and characters count in the file.",[['read']]
85,You can download a sample.,none
85,A sample.php can be downloaded.,none
85,You can download a webpage sample.,none
85,You can download a sample of a website.,none
85,You can download a sample website template.,none
86,There is a single-line description of a python command.,none
86,The python command is described in a single line.,none
86,There is a single-line description of the python command.,none
86,A description of a python command can be printed.,none
86,There is a description of a python command.,none
87,The full path of shell commands can be output.,none
87,You can output the full path of shell commands.,none
87,The full path of shell commands should be output.,none
87,The full path of shell commands can be Output the full path of shell commands.,none
87,The full path of commands can be output.,none
88,The usernames are currently in use.,none
88,You can display the usernames currently in use.,none
88,Show the usernames currently in use.,none
88,The usernames currently in use are displayed.,none
88,The usernames should be displayed.,none
89,Put the file into a zip file.,"[['read'], ['write']]"
89,Take the file and make it into a zip file.,"[['read'], ['write']]"
89,Take the file and put it in a zip file.,"[['read'], ['write']]"
89,Take the file and put it into a zip file.,"[['read'], ['write']]"
89,Put the file into zip.,"[['read'], ['write']]"
